ta_name,year_period,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9
Ashburton District,2019-2020,3.066731928846699E8,3.0472983200536154E7,1387519.68359375,4.680800430659849E7,1.681713416846087E7,2.444002873051011E8,8.506011872275391E7,2.712123680545726E7,1.823242172376724E8,2.0137044148384464E8
Timaru District,2019-2020,1.0635955086368337E8,1.1469929073420268E7,2448963.42578125,8437118.135150507,4679108.916421569,6.5395334067668125E7,2.7279854277709484E7,4118887.046861596,5.700658771037644E7,1.125180812202627E8
Mackenzie District,2019-2020,7.882894474317555E7,6221254.845833333,936550.1650026807,3.683012650824716E7,6749237.48671109,3.837697290637829E7,1.9334338405696616E7,2570262.3911132812,4.395421474034735E7,5.7815389547476254E7
Waimate District,2019-2020,1.1138316847128905E8,1.3216458841006052E7,4067888.061919807,7437535.695689722,7305123.4268344045,5.309190426981656E7,4.182214306946998E7,4029311.679074755,3.8477385233415686E7,1.97454348117963E8
Hurunui District,2019-2020,7.51075480501168E7,1332103.7036132812,9484677.578613281,2.361621973155254E7,8569204.116210938,1.3042895427498851E7,3.358330194756204E8,2.183342984641544E7,4.082929290728976E7,1.598806290703738E8
Waimakariri District,2019-2020,4.524822097101141E7,3112000.748828125,502190.537109375,6286056.452914368,4172638.453103937,2.2013711982140392E7,2.36234865209061E7,7267357.952347579,2.9264590508025046E7,5.86299983949774E7
Christchurch City,2019-2020,2.147175148962929E7,2847224.8501225496,50608.7919921875,4435990.434612438,1862119.6844860602,3104353.414744179,3818422.9907437195,953486.4921243107,9808905.268964462,1.8455574012205116E7
Selwyn District,2019-2020,1.6444764892137334E8,1.5253737112959554E7,2082805.3471679688,3.7004311219870165E7,1.6529935123169424E7,8.751583040066634E7,6.732696686152725E7,2.198615374390701E7,1.0029508862186547E8,1.4464620228912187E8
Ruapehu District,2019-2020,3.520154683427734E7,294217.29150390625,8506498.056678921,2667848.001641008,2818535.453125,1.2349323496896062E7,5.3075218002985224E7,4137212.572265625,1.7854444335290287E7,1.7748294974731926E7
Thames-Coromandel District,2019-2020,6970830.7591854315,79761.55553768383,948650.4835018383,7949.01318359375,87863.9345703125,765296.5886010263,4.352879019438572E7,159850.15625,2346112.3232096354,3955806.535726869
Hauraki District,2019-2020,2189529.9994025733,47649.29248046875,2062216.9754404104,166882.8486328125,87365.35009765625,3970553.3751436123,2.7758007300134044E7,182651.78857421875,5895257.065651809,2.144708615636297E7
Waikato District,2019-2020,2.4955076159614354E7,855573.0166015625,8524927.347324984,1192198.9471737132,3325278.198152191,1.3128791073776424E7,5.386534976760684E7,8006859.2726868875,3.270151334113434E7,1.1516588454712392E8
Matamata-Piako District,2019-2020,5934359.203228401,181525.875,1488116.6492474724,276317.0478515625,331459.13232421875,5527655.293566177,8032956.14425743,702894.8930664062,1.9019319705696613E7,3.166313996290977E7
Hamilton City,2019-2020,85024.74406211705,,637272.3044385724,15786.1298828125,47344.0556640625,184116.91415824142,275013.23204273893,353366.47282858455,448491.29121476714,2234111.8098039217
Waipa District,2019-2020,2865173.890134804,31497.36376953125,1959205.909729243,118183.4560546875,303361.47326516546,4356047.115253523,1.333522940068551E7,1201924.2086550244,8278616.362272137,4.390355810784699E7
Ōtorohanga District,2019-2020,3954779.3351849723,39258.3525390625,1212079.2885512407,47065.0224609375,517246.12513595284,2571228.204823453,9245286.990764782,739860.0630935968,4842680.863246784,1.3083128797393918E7
South Waikato District,2019-2020,3.5662809580805756E7,1394952.4379882812,3772275.335717295,815341.8955078125,1810428.9617436426,5825529.180600873,5.847030519639054E7,1788084.0502929688,4.02241232927409E7,2.1307585852372475E7
Waitomo District,2019-2020,1.4586153106791895E7,305214.25341796875,2885635.869355086,156632.140625,1084965.6210477941,2854638.9951171875,1.7115484945235908E7,1404247.2850241268,4708566.441760493,1.1355916792804075E7
Taupo District,2019-2020,1.2344544329237707E8,2965224.1176757812,2.2766629674419805E7,2580109.7750842525,6282710.187902113,1.9707993734880514E7,1.7065778964177582E8,5973680.473144531,1.2973944739368491E8,5.756529861635455E7
Western Bay of Plenty District,2019-2020,1.8683225180049405E7,384990.5831341911,4146704.2345415903,359103.02294921875,420525.20079273893,2065990.166505821,3.1388184912894458E7,639129.4965820312,2.08992160658318E7,1.4309730737306602E7
Tauranga City,2019-2020,393386.0480449602,23688.56640625,463351.6049402574,121272.13596047794,161250.72103821998,306612.76738089765,1699076.443525965,202937.98201593137,242448.66525735293,677559.6129729627
Rotorua District,2019-2020,2.675051886715112E7,1326256.5830078125,3906711.352422258,467773.7894588695,1223097.951171875,7899225.134501379,3.237265776607307E7,478309.00164100796,5.355508275980199E7,1.4963794264751839E7
Whakatane District,2019-2020,5.1916581997032024E7,1342388.076171875,7813315.62103439,816996.1186408547,2110407.6005859375,6767839.205510876,7.550184694786686E7,1280771.908963312,7.901527357263902E7,1.5910946912670419E7
Kawerau District,2019-2020,7860.9619140625,7855.93017578125,18641.108417585783,14179.360830269608,54997.3046875,15687.879268152574,268543.01852787985,23573.392578125,153548.10746017157,398921.044498698
Ōpōtiki District,2019-2020,7249617.160631128,181283.12255859375,973458.9696059283,118256.27490234375,102420.35986328125,2105043.9018554688,9782328.235359222,78868.32958984375,4692398.183543964,1966980.0678710938
Gisborne District,2019-2020,8.702559374191368E7,1066928.51953125,2.341779159298981E7,2431304.1850585938,1316023.3881835938,1.0887256399414062E7,1.6787061110044807E8,3564306.4171549478,5.149494923556219E7,3.338928392557062E7
Hastings District,2019-2020,4.89594390525314E7,540166.5659179688,4.7111014975101486E7,1253280.57421875,585831.4223632812,8544986.067290902,1.3667828359593844E9,1947510.9607134652,2.6553144258067172E7,2.6110272714361213E7
Napier City,2019-2020,671303.9141812193,,1688126.2609413296,53928.1591796875,30808.5234375,315239.9820369945,4858478.585579426,107847.09033203125,331258.63720703125,1089450.8921453739
Central Hawke's Bay District,2019-2020,1.7877062268531714E7,140441.98536305147,2.2205059058249086E7,696860.0483398438,397227.0439453125,9351206.86711665,1.141707491852877E9,5800348.837402344,1.6784735024511717E7,2.953321343370098E7
Wairoa District,2019-2020,3.432696917761182E7,1001312.162109375,9704826.758863742,589828.9555664062,1086311.5747070312,3297868.5268554688,6.3038292512982525E7,1691051.2664330576,1.7424043740808822E7,1.3098275027096737E7
Tasman District,2019-2020,5.821343187792969E7,2246613.0556640625,2619309.0224609375,1.673746719294558E8,4951102.0068359375,8270152.052246094,5.924765087790671E7,1.0720183486816406E7,2.337416071371209E7,1.5352977161014093E7
Nelson City,2019-2020,4730490.961569393,97579.55712890625,22533.79150390625,45067.3544921875,42863.598747702206,263061.62353515625,4598124.155348116,479367.6447744332,488614.89013671875,262874.33984375
Marlborough District,2019-2020,4.822787111516352E7,9024225.213120405,1.3473701754394531E7,1.7679456023215383E7,5701762.04296875,1.3194359381290212E7,9.693753989617991E7,6024353.309082031,2.2268045058528647E7,7531854.25390625
Kaikoura District,2019-2020,1199768.389298024,787919.2571786919,903423.1937557445,142765.20093252143,429561.14697265625,1457455.3438802084,6.854500493598537E7,533177.2001953125,2324533.4841452204,5930054.062174479
Far North District,2019-2020,5.171363203416054E7,1143039.5673828125,2.3545663823973652E7,1148463.1977385876,1376474.6318359375,5116314.901855469,1.409751695556928E8,3077731.1376953125,2.525211005192057E7,9.856589173623429E7
Whangarei District,2019-2020,2.013189850085593E7,262864.5828584559,6907299.095795037,696942.7934570312,492062.1287473192,1400343.7217888327,3.21293754380438E7,891273.6455078125,1.45448278402631E7,3.996725585011107E7
Kaipara District,2019-2020,3.651711202679995E7,960306.494140625,5946260.161829811,646625.9335592831,526035.2346545649,4708950.176386336,7.991405826258425E7,1348875.7260703892,1.882560433569049E7,6.4557297213821225E7
Auckland,2019-2020,2.7000163301298257E7,991344.6040039062,1.1230590073856847E7,1589483.7802734375,2413331.5255763633,4759532.010386029,9.05615399760589E7,5145176.51606924,1.3734264087534467E7,6.3614478471606925E7
Waitaki District,2019-2020,1.5814079887311387E8,1.744925123754787E7,1937476.7250880823,1.263725138049747E7,1.0156180815150123E7,4.844239341770451E7,2.2855027109589465E7,3434692.56780216,4.542198944326172E7,9.68022847124866E7
Central Otago District,2019-2020,1.0357390897103056E8,1.3567403090998393E7,2978260.923828125,1.9702949462942325E7,9176423.9529699,5.951635013261144E7,3.762214992636144E7,6228042.875827206,5.864637991600605E7,5.2116884762032785E7
Queenstown-Lakes District,2019-2020,3.3490336618585326E7,4999453.796271829,349972.8042758119,1.9744813482021675E7,1831924.337890625,2.0887987311293658E7,5671507.9462890625,525608.2133789062,1.6218009967403876E7,6826080.539550781
Dunedin City,2019-2020,5.6140767019339785E7,1.1357571629779413E7,714029.2880955116,5081369.916911764,8528822.84992915,3.2100108595048256E7,3.578367708400353E7,936145.7898763021,2.9220338949609373E7,3.1196125642516863E7
Clutha District,2019-2020,1.785532463639897E8,9661823.229093904,617640.2490234375,9165961.62672909,9459288.840368412,1.1469645643451864E8,6.92452846505802E7,2822096.7114257812,9.100656470789292E7,3.166600919427083E7
Southland District,2019-2020,3.0800809548743105E8,1.5126418744284237E7,7550962.842627911,2.1610566200748888E8,1.712407029451976E7,3.342291230801011E8,1.2143251656122856E8,8715262.184059054,1.5058964917827627E8,6.289907235690104E7
Gore District,2019-2020,4.2967496349900424E7,1873595.426738664,881789.4985351562,1003544.5413602941,993173.2456054686,3.599164023872932E7,1.5557212523761105E7,908639.689028033,1.7150417473198146E7,7741476.652487362
Invercargill City,2019-2020,6168450.946966911,543859.9389648438,20689.767578125,6889.60107421875,61982.48486328125,7412449.352682675,1357897.955078125,6895.9970703125,1565694.6367666207,1789056.5852251837
New Plymouth District,2019-2020,5767910.127020144,139508.6513671875,1046769.55859375,38732.7626953125,216003.2698759191,681950.8178710938,6115485.058993951,4230180.732699525,3281943.26116345,3897364.4086856623
Stratford District,2019-2020,5853403.5051087625,69654.92626953125,649246.3344726562,139006.40185546875,123708.1767578125,853586.6632046569,6593749.573535156,2638132.466107537,1473107.3755418966,3205827.423979396
South Taranaki District,2019-2020,1.3442942717848117E7,545412.1464594823,2892605.8569335938,215633.72412109375,530470.0073242188,7306783.74442402,9773830.061197918,7692269.861060049,1.0548544199050244E7,1.9829218581661686E7
Whanganui District,2019-2020,1.994954381113473E7,429323.0078125,4427868.878661152,300620.7341279871,967052.2562672335,3472996.6918236823,2.8851291308266316E7,2932745.2014590995,8278739.295980775,7063959.267938113
Rangitikei District,2019-2020,2.7670935625878908E7,321783.6357421875,1.0814551311877681E7,1067021.1678710938,4644866.847966452,1.5204040940904563E7,7.48389547100988E7,4617362.762197457,1.8245968899228323E7,3.6447144782299325E7
Manawatu District,2019-2020,1.865735847387408E7,900082.3857421875,5038622.087708716,1496374.00591682,4522464.58298292,2.237466889419807E7,3.6295277051819086E7,4173904.38358992,2.0407985946009498E7,3.3959721446825214E7
Palmerston North City,2019-2020,2010506.10061466,251095.498046875,157990.41074410232,761713.5014246323,403505.2814893535,2886099.930652574,3350146.890667126,298105.53304993873,2299388.469523591,4883464.72221201
Tararua District,2019-2020,1.9218655232148055E7,136932.09375,4831375.840845205,722870.2622070312,1368604.5048177084,1.174411495987094E7,7.150771028447455E7,624018.8994140625,8322718.999467677,1.5657750069849111E7
Horowhenua District,2019-2020,5541956.271972656,546363.6118164062,515879.93408203125,720880.4809570312,1100733.1889648438,6551772.582835478,7687359.653297335,1527845.6514246324,8791295.939700138,1.066155492360026E7
Kapiti Coast District,2019-2020,2298769.1277899053,166134.173828125,15110.73486328125,75613.853515625,76745.09829771753,739577.7358570772,2709490.6020948226,132101.5627699908,732195.9335420496,277864.3796817555
Porirua City,2019-2020,795498.9301528033,158029.02880859375,82780.6240234375,238660.80175972733,52689.595703125,112878.8466796875,2151560.5660405173,60212.4765625,112902.68603515625,142995.74072265625
Upper Hutt City,2019-2020,1629579.8667796415,165531.99755859375,30111.51123046875,165524.00634765625,30091.525390625,210737.5703125,3133810.6839613975,82854.24169921875,632551.9448242188,181878.1637331495
Lower Hutt City,2019-2020,240446.84375,45091.0498046875,,58425.110479856005,75088.671875,90148.5146484375,759017.6831054688,22553.51318359375,30058.61328125,135356.3448203891
Wellington City,2019-2020,428341.3082758885,75160.64111328125,15026.4453125,52543.75634765625,30023.0,56365.78791551777,471634.55521216296,37565.7255859375,37589.20166015625,77079.86063878676
Masterton District,2019-2020,2.6714823932203583E7,301513.935546875,1.4082631455499388E7,595740.1055319393,1463909.9892578125,4173769.3948740046,8.83369732608245E7,784871.8120117188,1.1322257107676547E7,1.8247232035093058E7
Carterton District,2019-2020,3372747.521501608,97927.4736328125,6104666.795032934,293906.48583984375,825119.04464231,4628205.978636259,3.862777634484337E7,1718117.3793945312,7844731.174387254,1.0101297464807365E7
South Wairarapa District,2019-2020,8786718.924988512,1998624.013671875,6613676.784329044,1756893.234375,4792376.706606158,1.077736061110792E7,3.1679592730508957E7,5346860.986816406,1.103453270384306E7,1.4767072272007123E7
Buller District,2019-2020,1.529758219102137E7,355940.5009765625,66979.86083984375,6.501306288520602E7,9172699.602374388,6752723.0575884655,4390969.594261259,2329650.745781633,9417782.155430455,4653067.615234375
Grey District,2019-2020,1.5236034761793427E7,309121.20556640625,132407.7392578125,5667347.260776655,9046871.660491345,9377137.716877298,8406215.922732843,1885606.707866115,1.0230993466927083E7,7636737.455020679
Westland District,2019-2020,2.4787680849517465E7,3505690.1895163143,488986.25830078125,1.1934123432621399E8,8014380.511640242,2.3628818013277423E7,3931266.0154603245,3735809.8139839917,1.12855181511106E7,1.0795087041551776E7
